City,City Latitude,City Longitude,Max Temperture,Humidity,Cloud coverage,Wind Speed,City Country,City DateTime
Comodoro Rivadavia,-45.87,-67.48,15.0,58,40,5.1,AR,1571259094
Cape Town,-33.93,18.42,17.47,93,0,7.2,ZA,1571259095
New Norfolk,-42.78,147.06,5.6,93,75,3.6,AU,1571259095
Kavieng,-2.57,150.8,28.45,75,98,4.042,PG,1571259095
Kandrian,-6.21,149.55,23.17,83,98,3.219,PG,1571259095
Dikson,73.51,80.55,-3.28,70,100,7.016,RU,1571259095
Banda Aceh,5.56,95.32,23.08,91,30,1.026,ID,1571259096
Ponta Delgada,37.73,-25.67,18.94,93,20,7.7,PT,1571259096
Vardo,39.62,-77.74,13.03,87,90,4.1,US,1571259096
Avera,33.19,-82.53,25.47,54,40,7.2,US,1571259096
Rikitea,-23.12,-134.97,23.3,76,100,1.667,PF,1571259096
Bhag,29.04,67.82,28.86,16,0,2.56,PK,1571259097
Ushuaia,-54.81,-68.31,15.33,25,0,11.3,AR,1571259097
Leningradskiy,69.38,178.42,1.4,74,8,3.351,RU,1571259097
Belmonte,40.36,-7.35,15.97,75,79,2.399,PT,1571259097
Santa Quiteria,37.67,-1.69,14.16,50,0,1.863,ES,1571259098
Ilulissat,69.22,-51.1,-5.0,62,40,2.201,GL,1571259098
Kaitangata,-46.28,169.85,11.67,75,0,4.02,NZ,1571259098
Vao,59.1,26.19,7.59,97,100,2.405,EE,1571259098
Vila Velha,-3.71,-38.6,27.29,65,40,6.2,BR,1571259098
Ribeira Grande,38.52,-28.7,19.0,72,40,7.7,PT,1571259099
Portland,43.66,-70.25,12.44,66,40,4.6,US,1571259099
Bethel,60.79,-161.76,0.35,86,90,8.7,US,1571259099
Murgab,37.5,61.97,14.0,54,0,2.1,TM,1571259099
Derzhavinsk,51.1,66.31,3.72,75,22,5.922,KZ,1571259100
Hermanus,-34.42,19.24,16.91,85,0,2.24,ZA,1571259100
Alofi,-19.06,-169.92,25.68,82,100,9.453,NU,1571259100
Cervo,-22.19,-46.24,20.0,77,40,1.085,BR,1571259101
Mudgee,-32.6,149.59,13.1,93,81,1.5,AU,1571259101
Rocha,-34.48,-54.34,13.56,89,100,5.737,UY,1571259101
Dumai,1.68,101.45,23.34,93,49,0.753,ID,1571259101
Kavaratti,10.57,72.64,28.34,71,100,1.817,IN,1571259102
Cidreira,-30.17,-50.22,19.3,89,100,11.686,BR,1571259102
Kodiak,39.95,-94.76,12.66,57,40,3.1,US,1571259102
Xuanwu,32.07,118.81,15.11,87,100,1.0,CN,1571259102
Sisimiut,66.94,-53.67,-1.63,42,100,3.176,GL,1571259103
Khatanga,71.98,102.47,-16.14,88,41,0.779,RU,1571259103
Longyearbyen,78.22,15.63,-1.0,68,40,6.7,NO,1571259104
Lavrentiya,65.58,-170.99,0.85,65,100,5.947,RU,1571259104
Puerto Ayora,-0.74,-90.35,23.7,53,20,9.8,EC,1571259104
Morant Bay,17.88,-76.41,30.0,70,20,4.1,JM,1571259104
Tasiilaq,65.61,-37.64,1.0,55,0,1.0,GL,1571259105
Auki,12.18,6.51,26.38,67,100,3.208,NG,1571259105
Port Hawkesbury,45.62,-61.36,11.53,50,1,2.1,CA,1571259105
Yatou,3.63,9.81,25.0,100,75,0.819,CM,1571259105
Manoel Urbano,-8.84,-69.26,25.55,94,100,0.887,BR,1571259106
Pangnirtung,66.15,-65.72,1.0,69,90,1.5,CA,1571259106
Mehamn,71.03,27.85,-0.43,74,40,2.6,NO,1571259106
Provins,48.56,3.3,14.37,87,100,7.2,FR,1571259107
Saskylakh,71.97,114.09,-15.38,97,47,3.072,RU,1571259107
Verkhnyaya Toyma,62.24,45.0,0.86,92,100,2.026,RU,1571259107
Narsaq,60.91,-46.05,0.0,43,98,1.5,GL,1571259107
Hobyo,5.35,48.53,26.74,73,91,3.76,SO,1571259107
Butaritari,3.07,172.79,27.52,72,89,1.329,KI,1571259108
Zhigansk,66.77,123.37,1.6,98,100,5.391,RU,1571259108
Oxapampa,-10.58,-75.4,17.54,74,86,1.678,PE,1571259108
Viedma,-40.81,-62.99,15.73,53,50,8.309,AR,1571259108
Mount Isa,-20.73,139.49,28.0,20,43,2.1,AU,1571259109
Kasongo-Lunda,-6.48,16.82,19.13,97,100,1.331,CD,1571259109
Victoria,5.28,115.24,25.0,94,75,3.462,BN,1571259109
Lake City,38.03,-107.32,17.8,10,1,4.6,US,1571259109
Campbellsville,37.34,-85.34,12.69,41,90,3.1,US,1571259110
San Andres,13.32,122.68,24.06,92,98,1.83,PH,1571259110
Namibe,-15.19,12.15,21.61,88,0,6.315,AO,1571259110
Hami,42.84,93.51,7.44,65,3,0.69,CN,1571259110
Avarua,-21.21,-159.78,25.0,73,74,6.2,CK,1571259111
Teguldet,57.31,88.17,7.87,90,100,5.315,RU,1571259111
Bathsheba,13.22,-59.52,30.0,70,20,5.1,BB,1571259112
Ranot,7.78,100.32,28.89,74,100,5.913,TH,1571259112
Qaqortoq,60.72,-46.03,0.0,65,94,1.5,GL,1571259113
Plettenberg Bay,-34.05,23.37,17.77,71,8,0.723,ZA,1571259113
Port Macquarie,-31.43,152.91,18.57,100,90,2.6,AU,1571259113
Tuktoyaktuk,69.44,-133.03,-5.0,85,20,6.2,CA,1571259113
Port Alfred,-33.59,26.89,16.67,95,0,1.34,ZA,1571259114
Pimentel,-3.7,-45.5,27.07,77,100,1.297,BR,1571259114
Nouakchott,18.08,-15.98,29.0,66,0,7.2,MR,1571259114
Cabedelo,-6.97,-34.84,26.0,74,40,6.7,BR,1571259114
Ayagoz,47.96,80.43,8.89,60,51,8.175,KZ,1571259115
Saint-Philippe,45.36,-73.48,15.38,51,75,6.2,CA,1571259115
Thompson,55.74,-97.86,0.0,72,90,1.5,CA,1571259116
Touros,-5.2,-35.46,26.0,65,20,6.2,BR,1571259116
Gat,14.69,-16.54,27.0,88,20,3.1,SN,1571259116
Luderitz,-26.65,15.16,16.0,77,68,1.0,NA,1571259117
Wajir,1.75,40.07,31.03,51,100,8.372,KE,1571259117
Zyryanka,65.73,150.89,-15.17,99,31,0.619,RU,1571259117
Zhigalovo,54.81,105.15,-1.3,92,59,1.056,RU,1571259118
Bambous Virieux,-20.34,57.76,20.46,88,75,6.7,MU,1571259118
Fez,34.03,-5.02,17.0,55,0,3.1,MA,1571259118
Yar-Sale,66.83,70.83,-4.13,85,10,6.827,RU,1571259118
Nouadhibou,20.93,-17.03,26.0,61,100,6.2,MR,1571259118
Sibolga,1.74,98.78,21.85,98,60,0.676,ID,1571259119
Warmbad,50.67,13.08,11.3,71,90,3.6,DE,1571259119
Lorengau,-2.02,147.27,28.52,77,39,4.793,PG,1571259119
Santo Tomas,7.53,125.62,24.5,94,40,1.0,PH,1571259119
Nikolskoye,59.7,30.79,5.52,81,90,3.0,RU,1571259120
Sitka,37.17,-99.65,19.77,33,0,4.47,US,1571259120
Tailai,46.39,123.41,5.85,42,0,3.021,CN,1571259120
Hambantota,6.12,81.12,27.2,76,100,2.53,LK,1571259120
Castro,-42.48,-73.76,13.0,58,20,6.7,CL,1571259121
Omsukchan,62.53,155.8,-11.98,95,100,2.457,RU,1571259121
Zhezkazgan,47.8,67.71,7.01,61,49,7.07,KZ,1571259121
Kahului,20.89,-156.47,26.91,62,40,4.1,US,1571259121
Upernavik,72.79,-56.15,-2.17,86,100,2.872,GL,1571259122
Santo Antonio do Leverger,-15.87,-56.08,34.0,38,88,3.6,BR,1571259122
Burnie,-41.05,145.91,7.05,89,100,3.13,AU,1571259123
Muros,42.77,-9.06,16.4,100,90,3.6,ES,1571259123
Great Yarmouth,52.61,1.73,8.94,93,87,1.5,GB,1571259123
Novobelokatay,55.7,58.96,-0.94,92,48,4.378,RU,1571259123
Qaanaaq,77.48,-69.36,-10.76,83,100,4.407,GL,1571259124
Port Pirie,-33.18,138.01,6.0,81,33,3.1,AU,1571259124
Westport,41.14,-73.36,16.05,87,90,4.1,US,1571259124
Laguna,16.17,-88.94,33.0,59,20,3.1,BZ,1571259125
Yellowknife,62.45,-114.38,0.69,99,90,4.6,CA,1571259125
Salalah,17.01,54.1,28.0,78,82,1.0,OM,1571259126
Severo-Kurilsk,50.68,156.12,1.66,88,18,4.529,RU,1571259126
Bonga,7.26,36.25,12.78,96,0,0.219,ET,1571259126
Pativilca,-10.7,-77.78,16.07,92,53,6.391,PE,1571259127
Jiuquan,39.73,98.49,3.06,57,47,1.468,CN,1571259128
Barillas,41.97,-1.66,16.08,54,6,4.6,ES,1571259128
Kupang,-10.16,123.6,24.96,68,71,2.485,ID,1571259128
Tiksi,71.64,128.87,-4.93,96,100,2.25,RU,1571259128
Jyderup,55.66,11.41,12.17,100,55,1.5,DK,1571259129
Saint-Augustin,45.63,-73.98,15.39,54,90,4.6,CA,1571259129
Cabo San Lucas,22.89,-109.91,30.26,74,20,2.1,MX,1571259129
Faanui,-16.48,-151.75,26.59,77,14,4.454,PF,1571259129
Nemuro,43.32,145.57,10.71,64,51,9.491,JP,1571259130
Ocampo,27.32,-102.4,14.34,92,100,3.331,MX,1571259130
Mpulungu,-8.77,31.12,19.34,73,63,2.427,ZM,1571259130
Batagay-Alyta,67.8,130.41,-9.34,81,100,2.468,RU,1571259131
Matamoros,25.87,-97.51,30.14,55,90,7.2,US,1571259079
Ilinskiy,55.62,38.12,7.65,81,81,3.0,RU,1571259131
Varkaus,62.32,27.87,1.06,100,90,3.1,FI,1571259131
Muroto,33.37,134.14,16.77,82,66,2.171,JP,1571259132
Flinders,-34.58,150.85,16.77,82,33,3.6,AU,1571259132
Provideniya,64.42,-173.23,2.0,93,90,5.0,RU,1571259133
Meghri,38.9,46.25,12.92,54,0,1.249,AM,1571259133
Kungurtug,50.6,97.53,-1.0,55,29,1.951,RU,1571259133
Baltiysk,54.66,19.91,13.0,87,75,7.0,RU,1571259133
Manohar Thana,24.24,76.8,21.22,62,0,2.522,IN,1571259134
Talnakh,69.49,88.39,-10.0,78,75,16.0,RU,1571259134
Atuona,-9.8,-139.03,26.49,71,4,4.917,PF,1571259134
Arraial do Cabo,-22.97,-42.02,24.49,78,40,5.1,BR,1571259135
Georgetown,6.8,-58.16,30.54,74,40,4.1,GY,1571259135
Grand Gaube,-20.01,57.66,20.56,88,75,6.7,MU,1571259135
Tanete,-3.94,119.78,22.68,93,36,0.785,ID,1571259136
Sola,-3.17,33.8,23.62,59,95,2.413,TZ,1571259136
Tefe,-3.35,-64.71,30.0,70,20,1.5,BR,1571259136
Dzhebariki-Khaya,62.22,135.8,-11.18,88,100,1.608,RU,1571259136
Mandalgovi,45.76,106.27,-0.65,26,0,3.293,MN,1571259137
Santa Maria da Boa Vista,-8.8,-39.83,32.79,26,76,5.058,BR,1571259137
Ancud,-41.87,-73.83,13.0,58,20,6.7,CL,1571259137
Hasaki,35.73,140.83,13.9,87,75,4.1,JP,1571259137
Bria,6.54,21.99,19.52,98,100,1.382,CF,1571259138
Shaunavon,49.65,-108.41,14.87,37,5,5.208,CA,1571259139
Wajima,37.4,136.9,15.25,56,18,3.451,JP,1571259139
Magadan,59.56,150.8,-3.28,58,58,4.862,RU,1571259139
Sukumo,32.94,132.72,16.38,80,8,2.408,JP,1571259139
Lethem,3.38,-59.8,32.54,47,67,5.259,GY,1571259140
Norman Wells,65.28,-126.83,0.0,87,90,1.547,CA,1571259140
Bluff,-23.58,149.07,22.49,76,55,3.697,AU,1571259140
San Cristobal,14.68,-86.92,28.67,52,24,2.493,HN,1571259140
Brae,60.4,-1.35,11.0,93,100,6.2,GB,1571259141
Mahebourg,-20.41,57.7,20.44,88,75,6.7,MU,1571259141
Nome,30.04,-94.42,18.86,88,90,5.7,US,1571259141
Katherine,-14.47,132.26,20.0,72,0,1.882,AU,1571259141
Hit,33.64,42.83,25.73,26,99,1.861,IQ,1571259142
Florence,34.2,-79.77,23.46,73,1,3.1,US,1571259142
Havoysund,71.0,24.66,0.14,86,76,5.7,NO,1571259142
Rio Gallegos,-51.62,-69.22,13.0,62,20,11.3,AR,1571259142
Mariinsk,56.21,87.75,9.01,81,100,8.909,RU,1571259143
Grindavik,63.84,-22.43,8.59,81,99,4.6,IS,1571259143
Port Hardy,50.7,-127.42,11.0,100,75,2.6,CA,1571259143
Mikhaylovskoye,43.1,44.64,12.49,52,0,0.734,RU,1571259144
Lagoa,37.14,-8.45,16.59,77,33,7.2,PT,1571259144
Pisco,-13.71,-76.2,21.24,30,20,8.7,PE,1571259144
Esperance,-33.86,121.89,6.0,93,0,4.1,AU,1571259145
Saint Anthony,43.97,-111.68,20.12,15,1,6.2,US,1571259145
Oxford,33.61,-85.83,18.9,60,1,2.1,US,1571259145
Yerbogachen,61.28,108.01,3.01,98,100,2.256,RU,1571259145
Pula,-1.95,-79.93,27.29,65,75,4.1,EC,1571259146
Mollendo,-17.03,-72.02,15.59,83,99,3.302,PE,1571259147
Hofn,64.25,-15.21,7.44,82,100,18.544,IS,1571259147
Road Town,18.42,-64.62,28.46,66,20,2.1,VG,1571259148
Chokurdakh,70.62,147.9,-12.35,88,0,3.832,RU,1571259149
Honningsvag,70.98,25.97,1.0,69,0,6.2,NO,1571259149
Klaksvik,62.23,-6.59,9.0,100,100,4.6,FO,1571259149
Port-Gentil,-0.72,8.78,26.0,94,90,2.1,GA,1571259151
Nantucket,41.28,-70.1,13.71,87,1,6.7,US,1571259151
Sembakung,3.82,117.25,23.72,95,46,1.255,ID,1571259151
Harper,30.3,-99.24,19.55,24,1,5.1,US,1571259151
Tuatapere,-46.13,167.69,10.56,83,100,4.02,NZ,1571259152
Zamora,41.51,-5.74,12.48,66,40,4.6,ES,1571259152
Shrewsbury,39.77,-76.68,14.01,87,90,4.6,US,1571259153
Maine-Soroa,13.21,12.02,29.98,50,100,2.628,NE,1571259154
Bubaque,11.28,-15.83,28.25,80,1,5.465,GW,1571259154
Tabat,-2.64,115.23,24.15,88,80,0.589,ID,1571259154
Santa Ana Arriba,19.3,-70.35,31.36,52,20,5.1,DO,1571259155
Yulara,-25.24,130.99,17.0,27,0,3.6,AU,1571259155
Svetlaya,46.54,138.33,4.51,61,0,3.807,RU,1571259155
Katsuura,33.93,134.5,14.0,82,75,3.6,JP,1571259156
Ibia,5.18,6.32,23.97,94,95,1.472,NG,1571259156
Lillooet,50.69,-121.94,11.83,66,90,7.2,CA,1571259156
Port Elizabeth,39.31,-74.98,17.0,93,90,3.6,US,1571259156
Chapais,49.78,-74.86,5.0,86,90,3.1,CA,1571259157
Gimli,50.63,-96.99,3.6,95,100,2.162,CA,1571259157
Curanilahue,-37.48,-73.35,12.18,65,100,3.175,CL,1571259158
Xichang,27.88,102.25,7.24,95,98,1.371,CN,1571259158
Petropavlovsk-Kamchatskiy,53.05,158.65,-3.0,86,4,2.0,RU,1571259158
Lishui,28.45,119.91,12.96,92,79,1.247,CN,1571259158
Lazaro Cardenas,28.39,-105.62,20.0,52,40,2.1,MX,1571259159
Bedesa,8.9,40.78,15.16,66,19,2.437,ET,1571259159
East London,-33.02,27.91,19.92,85,0,6.553,ZA,1571259159
Copiapo,-27.37,-70.33,17.0,55,20,6.2,CL,1571259159
Clarence Town,-32.59,151.78,17.99,93,20,2.1,AU,1571259160
Elliot Lake,46.37,-82.65,6.0,87,90,7.7,CA,1571259160
Dunedin,-45.87,170.5,13.33,69,64,2.24,NZ,1571259160
Barranca,-10.75,-77.76,17.1,88,24,7.46,PE,1571259161
Alugan,12.22,125.48,26.67,85,99,3.703,PH,1571259162
Prince Rupert,54.32,-130.32,10.0,93,90,5.7,CA,1571259162
Boende,-0.28,20.88,21.01,98,100,0.235,CD,1571259162
Cottbus,36.65,-91.85,15.95,44,1,5.1,US,1571259162
Abu Dhabi,24.47,54.37,29.47,74,0,2.6,AE,1571259162
Bonanza,14.03,-84.62,30.8,54,7,2.609,NI,1571259163
Psebay,44.12,40.81,10.87,54,0,2.359,RU,1571259163
Vindeby,55.04,10.61,11.28,93,1,2.1,DK,1571259163
Walvis Bay,-22.95,14.51,16.44,82,20,4.6,NA,1571259164
Yining,29.04,114.56,12.34,92,100,0.623,CN,1571259164
Faya,18.39,42.45,19.0,29,20,5.7,SA,1571259164
Karratha,-20.74,116.85,25.09,64,0,3.344,AU,1571259164
Quang Ngai,15.12,108.8,26.65,82,100,6.742,VN,1571259164
Helena,46.59,-112.04,19.32,33,1,1.5,US,1571259165
Harindanga,22.04,88.32,25.0,94,20,1.569,IN,1571259165
Naron,43.52,-8.15,14.35,100,90,2.1,ES,1571259166
Tautira,-17.73,-149.15,27.89,69,20,3.6,PF,1571259166
Genoa,44.41,8.93,14.92,72,40,3.1,IT,1571259166
Leshukonskoye,64.9,45.76,-0.82,95,100,1.47,RU,1571259166
Kuytun,54.34,101.51,1.93,93,19,1.036,RU,1571259166
Boa Vista,2.82,-60.67,25.0,88,75,3.1,BR,1571259167
Broome,52.47,1.45,9.04,93,87,1.5,GB,1571259167
Imbituba,-28.24,-48.67,20.0,94,90,5.1,BR,1571259167
Poum,41.28,20.71,10.6,72,3,0.421,MK,1571259167
Itarema,-2.92,-39.92,25.83,75,18,5.839,BR,1571259168
Mattru,7.62,-11.83,24.21,95,100,1.577,SL,1571259168
Medicine Hat,50.04,-110.68,18.35,24,75,5.7,CA,1571259168
San Patricio,-26.98,-56.83,21.0,82,97,3.249,PY,1571259168
Najran,17.54,44.22,24.0,31,40,3.1,SA,1571259168
Mercedes,-33.25,-58.03,15.56,96,100,4.02,UY,1571259168
Takoradi,4.89,-1.75,25.32,87,3,3.075,GH,1571259169
El Tigre,8.89,-64.25,29.91,62,86,3.214,VE,1571259169
Muli,28.08,109.56,10.36,91,93,2.27,CN,1571259169
Launceston,-41.43,147.14,5.6,93,86,5.7,AU,1571259169
Aklavik,68.22,-135.01,-4.0,79,20,4.6,CA,1571259169
Filiates,39.6,20.31,18.03,93,20,1.0,GR,1571259170
Gazanjyk,39.24,55.52,14.94,29,0,0.399,TM,1571259170
Srivardhan,18.03,73.02,26.33,71,100,2.313,IN,1571259170
Sao Raimundo das Mangabeiras,-7.02,-45.48,26.18,66,100,1.791,BR,1571259171
Cuxhaven,53.87,8.7,11.89,87,90,3.1,DE,1571259171
Asnaes,55.81,11.5,12.18,100,58,3.1,DK,1571259171
Dingle,11.0,122.67,23.47,91,57,2.725,PH,1571259172
Wanning,48.64,13.53,7.61,93,52,0.5,AT,1571259172
Necochea,-38.55,-58.74,15.41,80,100,1.79,AR,1571259173
Gigmoto,13.78,124.39,27.77,79,100,4.699,PH,1571259173
Zeya,53.74,127.27,-2.24,85,0,0.688,RU,1571259173
Karakol,42.49,78.39,5.31,30,32,1.561,KG,1571259173
Celestun,20.87,-90.4,29.16,77,100,5.53,MX,1571259173
Port Lincoln,-34.72,135.86,8.63,78,3,3.718,AU,1571259174
Belaya Gora,68.54,146.19,-12.52,90,0,2.765,RU,1571259175
Airai,-8.93,125.41,18.36,26,0,1.838,TL,1571259175
Margate,-43.03,147.26,5.59,93,75,3.6,AU,1571259175
Inverell,-29.78,151.11,20.0,78,31,5.324,AU,1571259175
Naze,5.43,7.07,26.0,88,75,5.1,NG,1571259176
Bosaso,11.28,49.18,27.57,77,4,5.264,SO,1571259176
Kamiiso,41.82,140.65,3.53,87,0,1.864,JP,1571259176
Cap-aux-Meules,47.38,-61.86,11.0,71,20,4.1,CA,1571259176
Tilichiki,60.47,166.1,-1.55,76,100,6.847,RU,1571259177
Los Lunas,34.81,-106.76,22.6,14,1,1.369,US,1571259178
Komsomolskiy,67.55,63.78,-5.63,94,23,3.63,RU,1571259178
Northam,-31.65,116.67,7.0,87,1,1.5,AU,1571259178
Rawson,-43.3,-65.11,12.98,62,0,13.144,AR,1571259178
Fairbanks,64.84,-147.72,-2.53,54,40,4.6,US,1571259178
Tsaratanana,-16.8,47.65,20.01,73,1,5.405,MG,1571259179
Skegness,53.14,0.34,7.33,87,20,3.1,GB,1571259179
Lagdo,9.06,13.67,26.0,83,20,1.5,CM,1571259179
Sao Filipe,14.9,-24.5,25.77,82,13,1.794,CV,1571259180
Sao Joao da Barra,-21.64,-41.05,26.0,69,0,7.2,BR,1571259180
Pinsk,52.11,26.1,13.84,76,0,3.811,BY,1571259180
Baykit,61.68,96.39,1.66,96,83,1.469,RU,1571259180
Kushiro,43.11,144.15,5.91,75,58,4.766,JP,1571259182
Batemans Bay,-35.71,150.18,10.86,95,1,3.093,AU,1571259182
Rio Grande,-32.03,-52.1,18.0,93,90,7.2,BR,1571259182
Tromso,69.65,18.96,-5.77,100,14,3.6,NO,1571259183
Hede,60.45,15.49,5.53,93,100,3.1,SE,1571259183
Maniitsoq,65.42,-52.9,2.83,49,100,3.179,GL,1571259183
Chernyshevskiy,63.01,112.47,3.73,96,100,3.48,RU,1571259183
Dakar,14.69,-17.45,28.03,88,20,3.1,SN,1571259184
Micheweni,-4.97,39.83,26.82,81,60,8.477,TZ,1571259184
San Quintin,17.54,120.52,21.95,84,16,1.897,PH,1571259184
Ternate,14.29,120.72,26.08,78,20,3.598,PH,1571259184
Deniliquin,-35.53,144.96,8.89,85,51,4.02,AU,1571259185
Port Hedland,-20.31,118.58,19.0,100,0,2.1,AU,1571259185
Zhuhai,40.71,112.04,6.0,93,20,1.0,CN,1571259185
Ponta do Sol,-20.63,-46.0,24.9,55,98,2.73,BR,1571259185
Olinda,-37.84,145.39,9.15,66,75,9.3,AU,1571259186
Conchal,-22.34,-47.17,28.76,40,40,1.0,BR,1571259187
Ojinaga,29.56,-104.41,25.0,33,1,3.1,US,1571259187
Kirsanov,52.65,42.73,5.1,68,38,3.096,RU,1571259187
Beringovskiy,63.05,179.32,3.13,73,100,1.681,RU,1571259188
Cotonou,6.37,2.43,27.0,88,40,3.1,BJ,1571259188
Binga,-17.62,27.34,26.79,34,0,4.51,ZW,1571259188
Rio Tuba,8.51,117.43,27.91,76,93,6.042,PH,1571259188
Wamba,2.14,27.99,19.48,99,100,1.319,CD,1571259189
Moerai,-22.43,-151.33,21.84,78,61,6.385,PF,1571259189
Ngatea,-37.27,175.5,13.72,82,97,6.7,NZ,1571259189
Sur,22.57,59.53,24.88,59,0,1.038,OM,1571259189
Zambezi,-13.55,23.12,21.27,30,0,2.597,ZM,1571259189
Barra do Garcas,-15.89,-52.26,38.0,22,20,3.1,BR,1571259190
Shelburne,44.08,-80.2,9.29,87,90,3.1,CA,1571259190
Garowe,8.41,48.48,25.57,70,38,4.922,SO,1571259190
Siocon,11.03,124.04,25.58,88,100,4.99,PH,1571259190
Mitzic,0.78,11.55,20.04,99,67,0.836,GA,1571259191
Bonthe,7.53,-12.5,25.8,89,100,2.393,SL,1571259191
Jinhua,29.11,119.65,14.2,82,95,0.205,CN,1571259192
Almaznyy,48.03,40.04,15.0,77,0,6.0,RU,1571259192
Ercis,39.03,43.36,9.0,31,20,2.1,TR,1571259192
Whitehorse,60.72,-135.06,0.27,83,90,1.0,CA,1571259192
Farnham,45.28,-72.97,15.18,51,75,6.2,CA,1571259193
Okhotsk,59.36,143.24,-8.47,54,0,9.096,RU,1571259193
Labuhan,-2.54,115.51,23.03,91,90,0.661,ID,1571259193
Havelock,34.88,-76.9,23.65,88,90,5.1,US,1571259193
Vaitape,-16.52,-151.75,26.59,77,14,4.454,PF,1571259194
Caceres,5.53,-74.53,26.69,70,70,1.185,CO,1571259194
Taltal,-25.41,-70.49,15.92,65,0,3.713,CL,1571259194
Saint-Joseph,43.56,6.97,14.09,76,88,1.5,FR,1571259194
Haines Junction,60.75,-137.51,-4.4,89,88,1.071,CA,1571259194
Clyde River,70.47,-68.59,-2.0,100,75,3.1,CA,1571259195
Podgornoye,57.79,82.64,5.24,94,100,3.867,RU,1571259195
Leon,40.74,-93.75,10.62,57,75,3.1,US,1571259195
Nanortalik,60.14,-45.24,3.88,60,92,4.507,GL,1571259195
Inirida,3.87,-67.92,26.78,94,93,1.231,CO,1571259196
Jimenez,8.54,-82.37,21.67,87,73,2.855,PA,1571259196
Karimpur,23.98,88.63,25.49,81,22,2.423,BD,1571259196
Anloga,5.79,0.9,26.0,88,20,3.1,GH,1571259197
Smithers,54.78,-127.17,9.0,76,90,1.5,CA,1571259198
Lata,30.78,78.62,-3.18,71,0,0.859,IN,1571259198
Vostok,46.45,135.83,-4.63,91,0,2.191,RU,1571259198
Kalabo,-15.0,22.67,24.73,22,43,4.218,ZM,1571259198
Vila,45.18,8.4,12.78,100,75,3.1,IT,1571259199
Kayseri,38.73,35.48,11.0,81,0,1.5,TR,1571259199
Darhan,49.49,105.92,2.92,31,100,2.603,MN,1571259199
Jinchang,38.52,102.19,3.8,74,53,2.07,CN,1571259200
Hirata,37.21,140.56,7.04,95,25,0.259,JP,1571259200
Thinadhoo,0.53,72.93,27.6,79,69,4.976,MV,1571259200
Zvenyhorodka,49.08,30.97,13.54,46,83,2.975,UA,1571259200
Kilindoni,-7.91,39.67,26.78,81,75,6.672,TZ,1571259200
Kaeo,-35.1,173.78,16.82,91,0,4.598,NZ,1571259201
Meulaboh,4.14,96.13,27.04,81,100,4.406,ID,1571259201
Bulgan,48.81,103.53,0.23,46,0,1.169,MN,1571259202
Roald,62.58,6.12,7.26,87,75,1.0,NO,1571259203
Mukhen,48.19,136.14,-1.18,79,0,2.689,RU,1571259203
Coos Bay,43.37,-124.22,14.65,93,90,5.1,US,1571259204
Moose Factory,51.26,-80.61,7.0,81,1,3.1,CA,1571259204
Padang,-0.92,100.36,19.7,96,61,0.73,ID,1571259204
